"Ligand"	"MolecularRefractivity(Fast Descriptors)"	"MolecularFlexibility(Fast Descriptors)"	"MolecularArea(vdWarea)(Spatial Descriptors)"	"MolecularVolume(vdWvolume)(SpatialDescriptors)"	"MolecularDensity(SpatialDescriptors)"	"PrincipalMomentsOfInertia(magnitude)(SpatialDescriptors)"	"PrincipalMomentOfInertiaX(SpatialDescriptors)"	"PrincipalMomentOfInertiaY(SpatialDescriptors)"	"PrincipalMomentOfInertiaZ(SpatialDescriptors)"	"RadiusOfGyration(SpatialDescriptors)"	"EllipsoidalVolume(SpatialDescriptors)"	"DipoleMoment(magnitude)(Spatial Descriptors)"	"DipoleMomentX(SpatialDescriptors)"	"DipoleMomentY(SpatialDescriptors)"	"DipoleMomentZ(SpatialDescriptors)"	"SASA(JursDescriptors)"	"PPSA1(JursDescriptors)"	"PNSA1(JursDescriptors)"	"DPSA1(JursDescriptors)"	"PPSA2(JursDescriptors)"	"PNSA2(JursDescriptors)"	"DPSA2(JursDescriptors)"	"PPSA3(JursDescriptors)"	"PNSA3(JursDescriptors)"	"DPSA3 (Jurs Descriptors)"	"FPSA1(JursDescriptors)"	"FPSA2(JursDescriptors)"	"FPSA3(JursDescriptors)"	"FNSA1(JursDescriptors)"	"FNSA2(JursDescriptors)"	"FNSA3(JursDescriptors)"	"WPSA1(JursDescriptors)"	"WPSA2(JursDescriptors)"	"WPSA3(JursDescriptors)"	"WNSA1(JursDescriptors)"	"WNSA2(JursDescriptors)"	"WNSA3(JursDescriptors)"	"RPCG(JursDescriptors)"	"RNCG(JursDescriptors)"	"RPCS(JursDescriptors)"	"RNCS(JursDescriptors)"	"TPSA(JursDescriptors)"	"TASA(JursDescriptors)"	"RPSA(JursDescriptors)"	"RASA(JursDescriptors)"
"smallMol_477"	"106.694923"	"8.787245"	"506.10645245"	"419.72095572"	"1.11388289"	"11498.14"	"2474.59"	"7296.969"	"8534.504"	"4.68189592"	"1545.384"	"3.11812547"	"-1.09119206"	"0.44045738"	"-2.88756016"	"687.572484"	"529.724528"	"157.847955"	"371.876573"	"2629.335"	"-783.492755"	"3412.828"	"51.144565"	"-56.91239"	"108.056955"	"0.770427"	"3.824085"	"0.074384"	"0.229573"	"-1.139506"	"-0.082773"	"364.22401"	"1807.859"	"35.165596"	"108.531911"	"-538.70806"	"-39.131393"	"0.04247"	"0.079294"	"0.274193"	"2.480852"	"223.821555"	"463.750928"	"0.325524"	"0.674476"
"smallMol_478"	"57.075603"	"3.25064"	"246.9709347"	"194.21354322"	"0.98995154"	"1845.574"	"401.75535668"	"1119.213"	"1411.417"	"3.26530238"	"398.98743024"	"2.54833297"	"0.51889982"	"-0.92112613"	"2.31867862"	"406.361818"	"312.353706"	"94.008112"	"218.345593"	"394.856752"	"-118.838861"	"513.695613"	"16.843731"	"-12.393579"	"29.237311"	"0.768659"	"0.971688"	"0.04145"	"0.231341"	"-0.292446"	"-0.030499"	"126.92862"	"160.454708"	"6.844649"	"38.201307"	"-48.291575"	"-5.036277"	"0.190246"	"0.256504"	"0.091899"	0	"32.660456"	"373.701362"	"0.080373"	"0.919627"
"smallMol_479"	"70.269615"	"5.150581"	"311.41254829"	"243.07014473"	"1.11221803"	"3952.813"	"987.1832108"	"2427.014"	"2959.696"	"4.10290763"	"753.49485211"	"3.05315735"	"0.22781944"	"-0.966877"	"-2.88704295"	"516.350337"	"365.540994"	"150.809344"	"214.73165"	"979.397859"	"-404.065616"	"1383.463"	"20.201405"	"-50.653875"	"70.855279"	"0.707932"	"1.89677"	"0.039123"	"0.292068"	"-0.782542"	"-0.0981"	"188.747215"	"505.712415"	"10.431002"	"77.870456"	"-208.639417"	"-26.155145"	"0.550996"	"0.210796"	"0.709022"	"7.588907"	"93.888327"	"422.46201"	"0.181831"	"0.818169"
"smallMol_480"	"72.387611"	"3.710266"	"279.95272778"	"232.09072068"	"1.17731546"	"4929.597"	"671.70191231"	"3193.324"	"3694.919"	"4.01353812"	"775.75641831"	"5.49987741"	"4.86019957"	"-2.48826429"	"0.66003971"	"483.466449"	"240.477039"	"242.989409"	"-2.51237"	"526.57384"	"-532.074858"	"1058.649"	"20.299671"	"-71.809078"	"92.108749"	"0.497402"	"1.089163"	"0.041988"	"0.502598"	"-1.100541"	"-0.14853"	"116.26258"	"254.580785"	"9.81421"	"117.477227"	"-257.240342"	"-34.71728"	"0.262039"	"0.19648"	"1.03163"	"8.505019"	"216.78834"	"266.678109"	"0.448404"	"0.551596"
"smallMol_481"	"54.695217"	"2.704707"	"235.87358817"	"188.45237484"	"1.09963589"	"2495.661"	"379.19763224"	"1601.516"	"1876.081"	"3.47838339"	"517.65195583"	"2.97953167"	"0.12732636"	"-2.9336196"	"-0.5052455"	"418.52254"	"272.691131"	"145.831408"	"126.859723"	"406.319112"	"-217.293567"	"623.612679"	"19.346133"	"-30.203377"	"49.549511"	"0.651557"	"0.970842"	"0.046225"	"0.348443"	"-0.519192"	"-0.072167"	"114.127385"	"170.053706"	"8.096793"	"61.033731"	"-90.942255"	"-12.640794"	"0.245984"	"0.264153"	"1.901173"	"8.604092"	"116.72461"	"301.79793"	"0.278897"	"0.721103"
"smallMol_482"	"103.667625"	"6.586538"	"429.58497689"	"346.15554434"	"0.94031714"	"5419.152"	"1880.351"	"3050.962"	"4064.864"	"4.09848189"	"875.57465103"	"1.37132961"	"-1.18336001"	"0.04416973"	"-0.6915584"	"618.760378"	"493.188223"	"125.572155"	"367.616068"	"726.544255"	"-184.987758"	"911.532013"	"23.940131"	"-10.136272"	"34.076403"	"0.797059"	"1.174193"	"0.03869"	"0.202941"	"-0.298965"	"-0.016382"	"305.165331"	"449.556798"	"14.813204"	"77.699074"	"-114.463095"	"-6.271923"	"0.148161"	"0.244809"	"3.599617"	"2.83288"	"35.86716"	"582.893218"	"0.057966"	"0.942034"
"smallMol_483"	"115.98819"	"4.38851"	"427.2210915"	"366.1248884"	"1.15111811"	"12872.54"	"1283.437"	"8684.342"	"9414.733"	"5.18065059"	"2197.579"	"5.51690267"	"3.17562483"	"-0.35191712"	"-4.49753002"	"661.770274"	"449.247292"	"212.522982"	"236.72431"	"1197.808"	"-566.640995"	"1764.449"	"26.441512"	"-48.38889"	"74.830402"	"0.678857"	"1.810006"	"0.039956"	"0.321143"	"-0.85625"	"-0.07312"	"297.298504"	"792.673884"	"17.498207"	"140.641392"	"-374.986166"	"-32.022329"	"0.11176"	"0.140575"	"0.431886"	"2.831668"	"184.427276"	"477.342998"	"0.278688"	"0.721312"
"smallMol_484"	"91.891922"	"5.401031"	"367.04615743"	"302.30421935"	"1.15255088"	"4543.289"	"1716.827"	"2376.021"	"3471.097"	"3.67979634"	"570.44825875"	"2.52967357"	"-1.5651832"	"-1.84974779"	"-0.72655559"	"532.475225"	"369.936469"	"162.538756"	"207.397713"	"1163.991"	"-511.422638"	"1675.413"	"21.277407"	"-50.928759"	"72.206166"	"0.694749"	"2.185999"	"0.039959"	"0.305251"	"-0.960463"	"-0.095645"	"196.982005"	"619.796125"	"11.329692"	"86.547861"	"-272.319884"	"-27.118303"	"0.470411"	"0.179489"	"0.48426"	"3.846311"	"121.059583"	"411.415642"	"0.227353"	"0.772647"
"smallMol_485"	"78.268829"	"4.608502"	"324.44921089"	"271.35671813"	"0.97060797"	"2981.829"	"970.43488862"	"1849.12"	"2128.454"	"3.46868144"	"584.70644763"	"2.36794565"	"0.32402492"	"2.34208378"	"0.12968437"	"492.414294"	"403.780549"	"88.633745"	"315.146804"	"575.639762"	"-126.358589"	"701.998351"	"17.368371"	"-13.583138"	"30.951509"	"0.820002"	"1.169015"	"0.035272"	"0.179998"	"-0.25661"	"-0.027585"	"198.827314"	"283.453247"	"8.552434"	"43.644523"	"-62.220775"	"-6.688531"	"0.14827"	"0.269945"	"0.226716"	"3.991446"	"33.887218"	"458.527076"	"0.068819"	"0.931181"
"smallMol_486"	"41.903507"	"3.024925"	"204.88764149"	"158.68593917"	"0.99071788"	"1189.515"	"250.0685734"	"799.99750356"	"844.04719896"	"2.68203763"	"226.40195547"	"0.99822037"	"-0.08709126"	"0.62701715"	"-0.77182156"	"351.8431"	"278.079352"	"73.763748"	"204.315605"	"317.181453"	"-84.13602"	"401.317473"	"19.297834"	"-20.254516"	"39.552351"	"0.79035"	"0.901485"	"0.054848"	"0.20965"	"-0.239129"	"-0.057567"	"97.840301"	"111.598106"	"6.78981"	"25.953266"	"-29.602678"	"-7.126412"	"0.229052"	"0.290677"	"0.885153"	"6.540444"	"97.494389"	"254.348711"	"0.277096"	"0.722904"
