"Ligand"	"MolecularRefractivity(Fast Descriptors)"	"MolecularFlexibility(Fast Descriptors)"	"MolecularArea(vdWarea)(Spatial Descriptors)"	"MolecularVolume(vdWvolume)(SpatialDescriptors)"	"MolecularDensity(SpatialDescriptors)"	"PrincipalMomentsOfInertia(magnitude)(SpatialDescriptors)"	"PrincipalMomentOfInertiaX(SpatialDescriptors)"	"PrincipalMomentOfInertiaY(SpatialDescriptors)"	"PrincipalMomentOfInertiaZ(SpatialDescriptors)"	"RadiusOfGyration(SpatialDescriptors)"	"EllipsoidalVolume(SpatialDescriptors)"	"DipoleMoment(magnitude)(Spatial Descriptors)"	"DipoleMomentX(SpatialDescriptors)"	"DipoleMomentY(SpatialDescriptors)"	"DipoleMomentZ(SpatialDescriptors)"	"SASA(JursDescriptors)"	"PPSA1(JursDescriptors)"	"PNSA1(JursDescriptors)"	"DPSA1(JursDescriptors)"	"PPSA2(JursDescriptors)"	"PNSA2(JursDescriptors)"	"DPSA2(JursDescriptors)"	"PPSA3(JursDescriptors)"	"PNSA3(JursDescriptors)"	"DPSA3 (Jurs Descriptors)"	"FPSA1(JursDescriptors)"	"FPSA2(JursDescriptors)"	"FPSA3(JursDescriptors)"	"FNSA1(JursDescriptors)"	"FNSA2(JursDescriptors)"	"FNSA3(JursDescriptors)"	"WPSA1(JursDescriptors)"	"WPSA2(JursDescriptors)"	"WPSA3(JursDescriptors)"	"WNSA1(JursDescriptors)"	"WNSA2(JursDescriptors)"	"WNSA3(JursDescriptors)"	"RPCG(JursDescriptors)"	"RNCG(JursDescriptors)"	"RPCS(JursDescriptors)"	"RNCS(JursDescriptors)"	"TPSA(JursDescriptors)"	"TASA(JursDescriptors)"	"RPSA(JursDescriptors)"	"RASA(JursDescriptors)"
"smallMol_1"	"114.45565"	"5.381212"	"427.96139392"	"359.67449743"	"1.09949133"	"13547.24"	"1121.41"	"9187.279"	"9892.632"	"5.51422146"	"2561.685"	"1.47551669"	"0.0868137"	"0.54033338"	"1.37027469"	"679.943372"	"572.327138"	"107.616234"	"464.710903"	"1434.859"	"-269.800608"	"1704.66"	"35.72059"	"-22.586072"	"58.306662"	"0.841728"	"2.110262"	"0.052535"	"0.158272"	"-0.396799"	"-0.033218"	"389.150044"	"975.622839"	"24.287978"	"73.172945"	"-183.449135"	"-15.35725"	"0.062321"	"0.15878"	"1.630587"	"1.66695"	"62.209307"	"617.734065"	"0.091492"	"0.908508"
"smallMol_2"	"137.601852"	"12.064258"	"650.19931608"	"548.09296236"	"1.17791694"	"29007.86"	"3053.695"	"19522.4"	"21236.93"	"5.92822168"	"2902.542"	"5.51901872"	"-4.45460771"	"3.12864234"	"0.90974441"	"852.213435"	"577.350933"	"274.862502"	"302.488431"	"4127.569"	"-1965.034"	"6092.603"	"71.323542"	"-102.761684"	"174.085226"	"0.677472"	"4.843351"	"0.083692"	"0.322528"	"-2.3058"	"-0.120582"	"492.026222"	"3517.57"	"60.782881"	"234.241517"	"-1674.628"	"-87.574888"	"0.02986"	"0.055053"	"0.801566"	"0.943796"	"501.074541"	"351.138894"	"0.587968"	"0.412032"
"smallMol_3"	"93.087227"	"8.601689"	"416.84629595"	"330.92531482"	"1.01664024"	"8598.522"	"1145.444"	"5762.126"	"6278.571"	"5.0702356"	"1788.37"	"5.88952643"	"-4.14824731"	"-2.96453192"	"2.94790033"	"638.835425"	"509.290557"	"129.544869"	"379.745688"	"1141.928"	"-290.464606"	"1432.393"	"26.839923"	"-26.470423"	"53.310346"	"0.797217"	"1.787515"	"0.042014"	"0.202783"	"-0.454678"	"-0.041435"	"325.352849"	"729.504015"	"17.146294"	"82.757851"	"-185.55908"	"-16.910244"	"0.099831"	"0.173664"	"0.506347"	"4.540222"	"105.588284"	"533.247142"	"0.165282"	"0.834718"
"smallMol_4"	"80.132599"	"6.73097"	"353.96703913"	"276.40453894"	"1.00348567"	"7919.894"	"480.45770159"	"5565.574"	"5614.112"	"4.85963709"	"1203.354"	"2.47524706"	"1.7088464"	"1.4533096"	"1.04622329"	"564.437735"	"426.62551"	"137.812225"	"288.813285"	"771.410126"	"-249.187422"	"1020.598"	"23.816849"	"-25.126735"	"48.943583"	"0.755842"	"1.366688"	"0.042196"	"0.244158"	"-0.441479"	"-0.044516"	"240.803537"	"435.412985"	"13.443128"	"77.78642"	"-140.650784"	"-14.182477"	"0.138708"	"0.193983"	"0.938048"	"0.678841"	"95.786665"	"468.65107"	"0.169703"	"0.830297"
"smallMol_5"	"40.834312"	"2.229821"	"178.98935489"	"139.30650344"	"1.0851252"	"1371.524"	"143.32059189"	"908.96624485"	"1017.014"	"3.022202"	"363.14263265"	"2.5588165"	"1.49701601"	"1.68817251"	"-1.20687968"	"344.913487"	"228.934424"	"115.979063"	"112.955361"	"250.527175"	"-126.918023"	"377.445198"	"18.285806"	"-23.413036"	"41.698842"	"0.663744"	"0.726348"	"0.053016"	"0.336256"	"-0.367971"	"-0.067881"	"78.96257"	"86.410202"	"6.307021"	"40.002743"	"-43.775738"	"-8.075472"	"0.201704"	"0.329846"	"1.266634"	"10.814553"	"98.875187"	"246.0383"	"0.286667"	"0.713333"
"smallMol_6"	"47.940002"	"2.589598"	"200.38892873"	"155.76089686"	"1.426783"	"2332.413"	"264.14852875"	"1556.904"	"1716.516"	"3.49130492"	"174.66745217"	"3.9339627"	"-2.43985709"	"-2.25667394"	"2.10489492"	"375.1847"	"172.971469"	"202.213231"	"-29.241761"	"439.240705"	"-513.496922"	"952.737627"	"15.67181"	"-71.416071"	"87.087881"	"0.46103"	"1.170732"	"0.041771"	"0.53897"	"-1.368651"	"-0.190349"	"64.896249"	"164.796392"	"5.879823"	"75.86731"	"-192.656189"	"-26.794217"	"0.58899"	"0.222251"	"0.303165"	"9.430091"	"140.690021"	"234.494679"	"0.374989"	"0.625011"
"smallMol_7"	"37.611805"	"4.058527"	"182.68342133"	"137.24103838"	"1.1890831"	"1114.699"	"395.32642656"	"600.66831274"	"851.7443646"	"2.4984996"	"172.701231"	"2.50967333"	"-0.53462698"	"2.39030225"	"0.54689065"	"330.966816"	"180.088576"	"150.87824"	"29.210335"	"250.296251"	"-209.698273"	"459.994524"	"15.885268"	"-37.243535"	"53.128803"	"0.544129"	"0.756258"	"0.047997"	"0.455871"	"-0.633593"	"-0.11253"	"59.603343"	"82.839753"	"5.257497"	"49.935691"	"-69.40317"	"-12.326374"	"0.202712"	"0.246967"	"0.195841"	"0.216064"	"132.832136"	"198.13468"	"0.401346"	"0.598654"
"smallMol_8"	"84.039513"	"2.81341"	"321.44648343"	"260.9412229"	"1.09733139"	"4225.124"	"953.57311972"	"2720.394"	"3088.984"	"3.9223263"	"905.70390356"	"2.13900808"	"-0.80723335"	"-0.06499366"	"1.97977415"	"524.657693"	"422.59823"	"102.059463"	"320.538767"	"964.6219"	"-232.960654"	"1197.583"	"36.316032"	"-24.840021"	"61.156053"	"0.805474"	"1.838574"	"0.069219"	"0.194526"	"-0.444024"	"-0.047345"	"221.719413"	"506.096301"	"19.053486"	"53.546282"	"-122.224599"	"-13.032508"	"0.097955"	"0.173391"	"1.064642"	"5.573442"	"84.981097"	"439.676596"	"0.161974"	"0.838026"
"smallMol_9"	"43.948814"	"2.892499"	"193.75767942"	"154.16665854"	"1.16859895"	"1288.227"	"491.07969485"	"645.67225219"	"1000.739"	"2.65784583"	"239.09688515"	"4.88477317"	"-1.34463238"	"-4.63897574"	"-0.72998405"	"352.395594"	"181.066493"	"171.329101"	"9.737392"	"240.82662"	"-227.875243"	"468.701863"	"13.088637"	"-37.810055"	"50.898692"	"0.513816"	"0.683398"	"0.037142"	"0.486184"	"-0.646646"	"-0.107294"	"63.807034"	"84.86624"	"4.612378"	"60.37562"	"-80.302232"	"-13.324097"	"0.220059"	"0.24646"	"1.488198"	"7.552456"	"144.659431"	"207.736164"	"0.410503"	"0.589497"
"smallMol_10"	"36.396404"	"2.559001"	"177.76182926"	"137.32730947"	"1.30036041"	"1665.915"	"230.18953988"	"1061.802"	"1262.878"	"2.43622362"	"288.90156865"	"1.14007632"	"-0.86229545"	"0.32897888"	"0.66932315"	"332.322459"	"137.710654"	"194.611805"	"-56.901152"	"185.716078"	"-262.452722"	"448.1688"	"14.6861"	"-35.530387"	"50.216487"	"0.414389"	"0.558843"	"0.044192"	"0.585611"	"-0.789753"	"-0.106915"	"45.764343"	"61.717624"	"4.880521"	"64.673874"	"-87.218934"	"-11.807546"	"0.206147"	"0.24503"	"1.045588"	"8.296258"	"117.57016"	"214.752299"	"0.353783"	"0.646217"
"smallMol_11"	"52.402809"	"2.837003"	"241.39821542"	"187.78031538"	"1.19931632"	"2717.862"	"621.21744977"	"1774.705"	"1962.469"	"3.43018376"	"497.04195233"	"2.51077631"	"0.61515563"	"-0.9180022"	"2.2545184"	"433.76608"	"292.163522"	"141.602558"	"150.560964"	"699.318779"	"-338.937759"	"1038.257"	"36.712364"	"-42.981677"	"79.694041"	"0.673551"	"1.612203"	"0.084636"	"0.326449"	"-0.781384"	"-0.09909"	"126.730626"	"303.340766"	"15.924578"	"61.422387"	"-147.019703"	"-18.643994"	"0.11697"	"0.164605"	"1.101806"	"5.291037"	"175.646507"	"258.119574"	"0.404934"	"0.595066"
"smallMol_12"	"63.842201"	"3.575337"	"268.21999207"	"216.36001171"	"1.26265937"	"3204.921"	"800.89818392"	"1865.47"	"2479.94"	"3.38451051"	"446.22420738"	"6.06146842"	"4.40481137"	"-4.16265837"	"-0.1063559"	"442.929673"	"297.591202"	"145.338471"	"152.252731"	"973.430224"	"-475.406935"	"1448.837"	"30.852691"	"-60.301451"	"91.154143"	"0.67187"	"2.197708"	"0.069656"	"0.32813"	"-1.073324"	"-0.136142"	"131.811974"	"431.161131"	"13.665572"	"64.374721"	"-210.571838"	"-26.709302"	"0.368281"	"0.163874"	"0.094781"	"4.846144"	"145.595831"	"297.333842"	"0.328711"	"0.671289"
"smallMol_13"	"96.735283"	"4.110765"	"368.23400918"	"310.88252711"	"1.13174901"	"6282.631"	"2014.93"	"3811.381"	"4569.999"	"4.25346509"	"857.62174037"	"2.76094019"	"-2.54783801"	"0.30061831"	"-1.02026508"	"593.911814"	"374.911507"	"219.000308"	"155.911199"	"612.994948"	"-358.073956"	"971.068904"	"21.213634"	"-20.031047"	"41.244681"	"0.631258"	"1.032131"	"0.035718"	"0.368742"	"-0.602908"	"-0.033727"	"222.664373"	"364.064942"	"12.599028"	"130.06687"	"-212.664353"	"-11.896675"	"0.097193"	"0.184772"	"0.563391"	"0.646609"	"15.966428"	"577.945386"	"0.026883"	"0.973117"
"smallMol_14"	"67.582314"	"4.650851"	"304.36559131"	"239.00712083"	"1.00128814"	"4260.117"	"526.52690496"	"2901.853"	"3074.185"	"3.99179086"	"672.02791109"	"1.44913201"	"0.33895571"	"-0.23483117"	"-1.3892253"	"494.766942"	"378.805583"	"115.961359"	"262.844223"	"659.77351"	"-201.972138"	"861.745648"	"26.988691"	"-28.174378"	"55.163068"	"0.765624"	"1.333504"	"0.054548"	"0.234376"	"-0.408217"	"-0.056945"	"187.42048"	"326.434122"	"13.353112"	"57.373847"	"-99.929137"	"-13.939751"	"0.125316"	"0.224832"	"3.065898"	"7.805118"	"131.314484"	"363.452458"	"0.265407"	"0.734593"
"smallMol_15"	"200.409332"	"6.002538"	"691.62514367"	"630.85370782"	"1.05715474"	"19036.71"	"5339.856"	"10781.32"	"14752.81"	"5.26742448"	"1759.22"	"1.75380901"	"0.46387958"	"-0.55455006"	"-1.59785356"	"889.343676"	"721.74088"	"167.602797"	"554.138083"	"3229.988"	"-414.862372"	"3644.85"	"49.910163"	"-18.030601"	"67.940763"	"0.811543"	"3.631878"	"0.05612"	"0.188457"	"-0.466482"	"-0.020274"	"641.875687"	"2872.569"	"44.387287"	"149.056487"	"-368.955227"	"-16.035401"	"0.047038"	"0.158492"	"1.422507"	"1.120797"	"83.483818"	"805.859858"	"0.093871"	"0.906129"
"smallMol_16"	"118.59137"	"7.384409"	"481.15934621"	"394.61478304"	"1.05552557"	"9289.315"	"2182.461"	"6045.202"	"6706.994"	"4.51170298"	"1739.995"	"2.01324585"	"1.3358823"	"-1.48940112"	"0.22419103"	"701.248886"	"550.129346"	"151.11954"	"399.009806"	"1303.084"	"-357.954996"	"1661.039"	"25.81677"	"-18.26858"	"44.08535"	"0.784499"	"1.858234"	"0.036815"	"0.215501"	"-0.510454"	"-0.026051"	"385.777591"	"913.78642"	"18.103981"	"105.972409"	"-251.015543"	"-12.810821"	"0.153323"	"0.161379"	"0.629537"	"0.276658"	"53.502112"	"647.746775"	"0.076295"	"0.923705"
"smallMol_17"	"108.372581"	"6.606317"	"439.98158356"	"356.20819948"	"1.09333809"	"17999.29"	"819.20610476"	"12366.23"	"13052.96"	"6.22786555"	"2489.695"	"2.04249667"	"1.48533816"	"-1.18263781"	"0.7529482"	"708.768984"	"588.850446"	"119.918539"	"468.931907"	"1707.914"	"-347.813986"	"2055.728"	"37.919214"	"-28.950896"	"66.870111"	"0.830807"	"2.40969"	"0.0535"	"0.169193"	"-0.49073"	"-0.040847"	"417.358932"	"1210.516"	"26.875963"	"84.994541"	"-246.519766"	"-20.519497"	"0.085717"	"0.132055"	"0.310544"	"1.55967"	"100.396448"	"608.372536"	"0.141649"	"0.858351"
"smallMol_18"	"91.231476"	"4.683212"	"363.20415313"	"293.32692813"	"1.07517232"	"7614.193"	"802.78266751"	"5061.295"	"5631.586"	"4.49606068"	"1827.773"	"0.83913318"	"-0.23392574"	"0.72917633"	"0.34311094"	"575.759393"	"422.523083"	"153.23631"	"269.286773"	"842.669601"	"-305.610659"	"1148.28"	"27.922945"	"-19.145152"	"47.068097"	"0.733854"	"1.463579"	"0.048498"	"0.266146"	"-0.530796"	"-0.033252"	"243.271634"	"485.174938"	"16.076898"	"88.227245"	"-175.958207"	"-11.023001"	"0.12714"	"0.175684"	"0.3992"	"0.230552"	"37.8799"	"537.879494"	"0.065791"	"0.934209"
"smallMol_19"	"35.1656"	"0.925422"	"139.41503999"	"108.86133597"	"1.25034289"	"705.03853847"	"221.70666323"	"349.22740801"	"570.93407124"	"2.36419631"	"93.06616137"	"1.7638971"	"-1.76213479"	"-0.07882876"	0	"285.953725"	"170.385304"	"115.568421"	"54.816884"	"207.095006"	"-140.467637"	"347.562642"	"23.995858"	"-27.766851"	"51.762709"	"0.595849"	"0.724226"	"0.083915"	"0.404151"	"-0.491225"	"-0.097103"	"48.722312"	"59.219588"	"6.861705"	"33.04722"	"-40.167244"	"-7.940034"	"0.181017"	"0.283397"	"4.705413"	"7.834146"	"107.224017"	"178.729708"	"0.37497"	"0.62503"
"smallMol_20"	"93.758484"	"4.751543"	"390.69827796"	"313.81472561"	"1.0689938"	"7765.619"	"1363.977"	"4851.899"	"5907.916"	"4.8864908"	"1205.094"	"4.13491316"	"-0.59037671"	"0.56403404"	"-4.05349575"	"617.472214"	"483.092377"	"134.379836"	"348.712541"	"1279.571"	"-355.933149"	"1635.504"	"24.747419"	"-39.768748"	"64.516167"	"0.782371"	"2.072273"	"0.040079"	"0.217629"	"-0.576436"	"-0.064406"	"298.296119"	"790.099607"	"15.280844"	"82.975815"	"-219.77883"	"-24.556097"	"0.537224"	"0.21419"	"0.691299"	"6.104613"	"73.5944"	"543.877813"	"0.119187"	"0.880813"
"smallMol_21"	"82.711891"	"2.821483"	"328.38157207"	"273.10730557"	"1.07781077"	"4854.613"	"901.12087565"	"3104.343"	"3621.92"	"4.06142605"	"747.79011334"	"3.00216063"	"-0.41798721"	"-1.21378124"	"-2.71385156"	"532.147091"	"431.191889"	"100.955203"	"330.236686"	"762.606233"	"-178.549493"	"941.155726"	"25.105851"	"-13.721042"	"38.826893"	"0.810287"	"1.433074"	"0.047178"	"0.189713"	"-0.335527"	"-0.025784"	"229.457509"	"405.818689"	"13.360005"	"53.723018"	"-95.014593"	"-7.301613"	"0.144844"	"0.196084"	"0.524754"	"1.243726"	"43.230439"	"488.916652"	"0.081238"	"0.918762"
"smallMol_22"	"83.30629"	"3.046886"	"309.92215018"	"264.771405"	"1.16618331"	"4352.675"	"1690.664"	"2253.411"	"3318.068"	"3.68554201"	"594.62743355"	"2.15281083"	"-2.09765883"	"0.17852538"	"-0.4500562"	"517.535623"	"294.783114"	"222.752509"	"72.030605"	"387.147871"	"-292.547789"	"679.69566"	"17.270502"	"-20.182654"	"37.453155"	"0.56959"	"0.74806"	"0.033371"	"0.43041"	"-0.565271"	"-0.038998"	"152.560762"	"200.362814"	"8.9381"	"115.282359"	"-151.403902"	"-10.445242"	"0.120964"	"0.213929"	"0.642752"	"0.233951"	"11.154628"	"506.380995"	"0.021553"	"0.978447"
"smallMol_23"	"74.661621"	"6.648494"	"333.29147711"	"260.0096552"	"0.95901821"	"4017.821"	"780.81557163"	"2462.139"	"3077.513"	"3.91796208"	"874.81105353"	"1.01673579"	"-0.3147946"	"0.50057987"	"-0.82708876"	"510.79663"	"386.74227"	"124.05436"	"262.68791"	"605.188544"	"-194.124906"	"799.313449"	"22.106544"	"-18.390422"	"40.496966"	"0.757136"	"1.184794"	"0.043279"	"0.242864"	"-0.380043"	"-0.036003"	"197.546648"	"309.128268"	"11.291948"	"63.366549"	"-99.158347"	"-9.393766"	"0.134609"	"0.248835"	"2.79011"	"6.025558"	"54.451081"	"456.345549"	"0.1066"	"0.8934"
"smallMol_24"	"45.534401"	"1.071074"	"193.87492144"	"160.09235779"	"0.94478587"	"690.84648198"	"306.45640243"	"437.43815277"	"438.17941254"	"2.42089947"	"110.74582241"	"0.7535558"	"-0.3968922"	"-0.43341729"	"-0.47166978"	"335.156318"	"314.650592"	"20.505726"	"294.144866"	"214.401686"	"-13.972505"	"228.374192"	"13.00543"	"-4.203501"	"17.208932"	"0.938817"	"0.639707"	"0.038804"	"0.061183"	"-0.04169"	"-0.012542"	"105.457134"	"71.85808"	"4.358852"	"6.872624"	"-4.682973"	"-1.40883"	"0.174542"	"0.477012"	"3.884704"	"5.63389"	"11.810782"	"323.345536"	"0.03524"	"0.96476"
"smallMol_25"	"84.630028"	"4.200215"	"356.95931201"	"293.5157284"	"1.10872081"	"6106.895"	"919.43832624"	"4069.599"	"4459.502"	"4.28425622"	"868.75339397"	"3.78196758"	"-0.48698567"	"3.47318563"	"-1.41531101"	"553.893485"	"408.502751"	"145.390735"	"263.112016"	"897.183766"	"-319.318036"	"1216.502"	"20.338706"	"-32.566778"	"52.905484"	"0.737511"	"1.619777"	"0.03672"	"0.262489"	"-0.576497"	"-0.058796"	"226.267012"	"496.944243"	"11.265477"	"80.530981"	"-176.86818"	"-18.038526"	"0.128668"	"0.165256"	0	"0.108434"	"128.993593"	"424.899892"	"0.232885"	"0.767115"
"smallMol_26"	"129.841003"	"11.946019"	"629.33893914"	"515.62703162"	"1.13572011"	"16724.76"	"3593.47"	"10297.9"	"12679.03"	"4.95260786"	"1493.182"	"4.67450286"	"-2.72249523"	"0.8660981"	"-3.69984741"	"762.924368"	"574.282721"	"188.641647"	"385.641074"	"3684.878"	"-1210.417"	"4895.296"	"64.388911"	"-67.296972"	"131.685883"	"0.752739"	"4.829939"	"0.084398"	"0.247261"	"-1.58655"	"-0.088209"	"438.134282"	"2811.283"	"49.123869"	"143.919309"	"-923.456979"	"-51.3425"	"0.038757"	"0.061339"	"0.018722"	"0.617795"	"337.212184"	"425.712184"	"0.441999"	"0.558001"
"smallMol_27"	"141.829941"	"9.362024"	"532.68376942"	"440.37797997"	"1.46537524"	"14128.68"	"4891.933"	"8634.848"	"10056.23"	"5.07049015"	"1787.871"	"3.04604452"	"-2.31172087"	"-1.96564335"	"-0.26566895"	"746.246631"	"469.323121"	"276.92351"	"192.399611"	"946.214787"	"-558.313552"	"1504.528"	"19.276591"	"-30.306999"	"49.58359"	"0.628912"	"1.267965"	"0.025831"	"0.371088"	"-0.748162"	"-0.040613"	"350.230798"	"706.109597"	"14.385091"	"206.653236"	"-416.639608"	"-22.616496"	"0.097585"	"0.228308"	"0.235694"	"5.234944"	"57.010605"	"689.236026"	"0.076396"	"0.923604"
"smallMol_28"	"92.331085"	"4.211792"	"343.07193104"	"285.23750134"	"0.97256144"	"4101.092"	"1226.076"	"2457.459"	"3045.749"	"3.91171314"	"784.42079035"	"0.8551109"	"-0.21700065"	"0.45620686"	"0.68992802"	"547.871729"	"428.795225"	"119.076505"	"309.71872"	"460.996378"	"-128.018757"	"589.015135"	"20.818625"	"-7.240686"	"28.059311"	"0.782656"	"0.841431"	"0.037999"	"0.217344"	"-0.233666"	"-0.013216"	"234.924781"	"252.566883"	"11.405936"	"65.238651"	"-70.137858"	"-3.966967"	"0.058542"	"0.287509"	"1.02446"	"1.320553"	"4.593082"	"543.278647"	"0.008383"	"0.991617"
"smallMol_29"	"108.636871"	"8.345354"	"439.16691831"	"362.12050716"	"1.12913238"	"6999.247"	"2213.256"	"4065.331"	"5250.147"	"4.34358814"	"955.46906612"	"1.92398375"	"-0.0101887"	"0.86240284"	"1.71984622"	"643.517173"	"503.399177"	"140.117996"	"363.28118"	"1308.963"	"-364.341344"	"1673.304"	"30.681738"	"-24.476438"	"55.158176"	"0.782262"	"2.034076"	"0.047678"	"0.217738"	"-0.566172"	"-0.038035"	"323.946015"	"842.340043"	"19.744225"	"90.168337"	"-234.459912"	"-15.751008"	"0.112047"	"0.14381"	"0.162373"	"1.109427"	"68.938514"	"574.578659"	"0.107128"	"0.892872"
"smallMol_30"	"89.123024"	"4.357811"	"371.52147918"	"308.07204269"	"1.18609917"	"8779.129"	"1099.144"	"5890.609"	"6416.051"	"4.56131263"	"916.92179909"	"1.79951842"	"-0.99216799"	"1.1231411"	"0.99620445"	"589.166785"	"344.9894"	"244.177384"	"100.812016"	"995.013185"	"-704.253091"	"1699.266"	"28.299944"	"-54.415326"	"82.71527"	"0.585555"	"1.688848"	"0.048034"	"0.414445"	"-1.195337"	"-0.09236"	"203.256296"	"586.228719"	"16.673387"	"143.861204"	"-414.922529"	"-32.059703"	"0.097979"	"0.125151"	"0.496955"	"4.18375"	"199.358313"	"389.808471"	"0.338373"	"0.661627"
"smallMol_31"	"43.704216"	"2.459136"	"190.90454457"	"146.93662732"	"0.9201926"	"1023.735"	"165.34736883"	"682.85716025"	"744.5807608"	"2.77123618"	"235.20750809"	"0.66196345"	"-0.52667941"	"-0.0106601"	"-0.40086252"	"346.358384"	"264.190967"	"82.167417"	"182.02355"	"195.747502"	"-60.880469"	"256.627971"	"15.950191"	"-9.026444"	"24.976635"	"0.762768"	"0.565159"	"0.046051"	"0.237232"	"-0.175773"	"-0.026061"	"91.504756"	"67.798788"	"5.524482"	"28.459374"	"-21.086461"	"-3.126385"	"0.16015"	"0.442225"	"4.135778"	"6.964038"	"15.74771"	"330.610674"	"0.045467"	"0.954533"
"smallMol_32"	"87.428917"	"4.145114"	"362.63421827"	"301.02593446"	"1.16071393"	"7890.542"	"898.79687213"	"5265.975"	"5807.092"	"4.58912335"	"767.88970672"	"2.48177977"	"-1.94960213"	"1.0917659"	"-1.07996739"	"573.000078"	"362.773621"	"210.226457"	"152.547164"	"961.802547"	"-557.362621"	"1519.165"	"28.096222"	"-39.725952"	"67.822174"	"0.633113"	"1.678538"	"0.049034"	"0.366887"	"-0.97271"	"-0.06933"	"207.869313"	"551.112935"	"16.099137"	"120.459776"	"-319.368826"	"-22.762973"	"0.106588"	"0.128274"	"0.411899"	"0.280559"	"143.355365"	"429.644713"	"0.250184"	"0.749816"
"smallMol_33"	"53.890305"	"2.023407"	"200.36522122"	"164.15287793"	"1.14041252"	"2193.923"	"248.59711161"	"1412.028"	"1660.625"	"3.18225502"	"499.17500619"	"1.27656108"	"-1.26635701"	"0.16108417"	0	"371.594887"	"248.979842"	"122.615045"	"126.364798"	"339.280333"	"-167.085412"	"506.365745"	"24.314099"	"-25.204635"	"49.518735"	"0.67003"	"0.913038"	"0.065432"	"0.32997"	"-0.449644"	"-0.067828"	"92.519636"	"126.074837"	"9.034995"	"45.563124"	"-62.088085"	"-9.365914"	"0.198567"	"0.28932"	"1.870402"	"3.923328"	"91.941216"	"279.653671"	"0.247423"	"0.752577"
"smallMol_34"	"110.354759"	"4.621498"	"396.99201184"	"335.50104532"	"1.17275639"	"8147.44"	"2010.049"	"5185.593"	"5953.999"	"4.25546879"	"1619.182"	"1.64975657"	"0.7344686"	"-0.1873977"	"-1.46531045"	"622.846926"	"395.679242"	"227.167684"	"168.511559"	"1216.9"	"-698.646925"	"1915.547"	"24.957979"	"-60.526102"	"85.484081"	"0.635275"	"1.95377"	"0.040071"	"0.364725"	"-1.121699"	"-0.097177"	"246.447599"	"757.942243"	"15.545"	"141.490693"	"-435.15009"	"-37.698497"	"0.460599"	"0.184511"	"0.474159"	"6.840289"	"111.056912"	"511.790014"	"0.178305"	"0.821695"
"smallMol_35"	"56.491322"	"2.000371"	"223.06948226"	"178.76518824"	"1.05294548"	"1799.182"	"343.27943414"	"1100.091"	"1381.671"	"3.26093879"	"287.66058137"	"2.62859225"	"2.3255426"	"-1.03758864"	"-0.6517351"	"396.520437"	"288.13398"	"108.386457"	"179.747524"	"302.01204"	"-113.607031"	"415.619071"	"16.028213"	"-14.228891"	"30.257103"	"0.726656"	"0.761656"	"0.040422"	"0.273344"	"-0.28651"	"-0.035884"	"114.251012"	"119.753946"	"6.355514"	"42.977445"	"-45.04751"	"-5.642046"	"0.258642"	"0.272267"	"1.999005"	"0.476398"	"48.729483"	"347.790954"	"0.122893"	"0.877107"
"smallMol_36"	"133.412369"	"8.728276"	"542.31134337"	"453.66745975"	"1.12116922"	"12013.65"	"4804.396"	"5629.187"	"9463.502"	"4.96033853"	"1566.634"	"5.02335062"	"2.2683485"	"1.03247544"	"4.36149527"	"748.963784"	"566.772537"	"182.191246"	"384.581291"	"2682.208"	"-862.206153"	"3544.414"	"38.143967"	"-49.769688"	"87.913655"	"0.756742"	"3.581226"	"0.050929"	"0.243258"	"-1.151199"	"-0.066451"	"424.492104"	"2008.877"	"28.56845"	"136.454645"	"-645.761182"	"-37.275694"	"0.310712"	"0.119366"	"0.159929"	"1.841702"	"148.25895"	"600.704833"	"0.197952"	"0.802048"
"smallMol_37"	"122.554779"	"7.155588"	"476.28578616"	"393.75252108"	"1.1387711"	"30203.75"	"906.24343226"	"21298.23"	"21396.98"	"6.44129417"	"5695.776"	"2.88112495"	"-0.67515579"	"2.17829256"	"-1.76070644"	"743.728018"	"497.849352"	"245.878666"	"251.970686"	"1053.818"	"-520.461247"	"1574.279"	"27.115386"	"-30.116935"	"57.232321"	"0.669397"	"1.41694"	"0.036459"	"0.330603"	"-0.699801"	"-0.040495"	"370.264512"	"783.753851"	"20.166472"	"182.866853"	"-387.081612"	"-22.398808"	"0.105916"	"0.173725"	"0.53721"	0	"69.117045"	"674.610973"	"0.092933"	"0.907067"
"smallMol_38"	"90.206642"	"4.933376"	"413.24353058"	"345.35448497"	"1.1131316"	"6983.194"	"1608.305"	"4518.367"	"5075.698"	"4.19032211"	"1139.78"	"3.06913677"	"0.91669228"	"2.2988064"	"1.81514873"	"612.906416"	"468.325098"	"144.581318"	"323.74378"	"1196.902"	"-369.507658"	"1566.41"	"22.984222"	"-36.050944"	"59.035167"	"0.764105"	"1.952831"	"0.0375"	"0.235895"	"-0.602878"	"-0.05882"	"287.039457"	"733.589215"	"14.087177"	"88.614817"	"-226.473614"	"-22.095855"	"0.113683"	"0.131212"	"0.192202"	"1.349652"	"154.743263"	"458.163153"	"0.252475"	"0.747525"
